False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
0.721,1.062,0.717,1.049,0.696,1.008,0.7,1.011
0.816,0.815,0.813,0.814,0.714,0.792,0.667,0.796
0.729,0.794,0.738,0.865,0.703,0.799,0.659,0.862
