False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
0.5511,0.4135,0.5507,0.4166,0.6055,0.4401,0.5931,0.4362
0.4996,0.5002,0.498,0.4992,0.578,0.5121,0.5853,0.5144
0.4732,0.4738,0.4101,0.4154,0.5373,0.4858,0.4257,0.4214
