False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
2199277,5447149,2200142,5395053,1995448,5057667,252171,5110826
792515,1261581,790970,1261323,648056,1211388,76553,1217423
335895,677197,333700,652040,288556,665788,37396,652385
