False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
7.493,5.053,7.49,5.101,8.256,5.441,8.12,5.385
6.712,6.644,6.725,6.646,8.205,6.919,8.628,6.885
7.178,6.834,7.225,7.097,8.352,6.95,8.289,7.093
