False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
3.8289,3.2673,3.821,3.2831,4.1319,3.4328,4.0458,3.4118
3.8165,3.9469,3.8265,3.942,4.4125,4.0559,4.5369,4.0216
3.0715,3.2938,1.2107,1.195,3.4749,3.3447,1.3754,1.2055
