False_False_1.0,False_False_1.6923076923076923,False_True_1.0,False_True_1.6923076923076923,True_False_1.0,True_False_1.6923076923076923,True_True_1.0,True_True_1.6923076923076923
240654.406,302320.063,240531.986,300309.055,227914.544,288289.276,230429.144,290176.316
274177.478,272893.107,273259.132,272824.525,243460.205,266321.303,218046.153,268472.408
216262.42,223134.916,203178.915,206055.588,195181.901,221522.654,183533.693,206811.493
